クラス,スタートナンバー,氏名１,氏名2,所属,スタート時刻,カード番号,カード備考,競技者登録番号
M21A,1101,山田 太郎,やまだ たろう,テストクラブ,11:00:00,8100001,マイカード,000-00-001
M21A,1102,井上 拓也,いのうえ たくや,サンプルOLC,11:01:00,8100002,マイカード,000-00-002
M21A,1103,森 大輔,もり だいすけ,デモOLK,11:02:00,,レンタル,000-00-003
M21A,1104,渡辺 健太,わたなべ けんた,テストクラブ,11:03:00,8100004,マイカード,000-00-004
M21A,1105,林 誠,はやし まこと,架空OLC,11:04:00,,レンタル,
M21A,1106,後藤 悠,ごとう ゆう,サンプルOLC,11:05:00,8100006,マイカード,000-00-006
W21A,2201,鈴木 花子,すずき はなこ,テストクラブ,11:00:00,8100011,マイカード,000-00-011
W21A,2202,森 美咲,もり みさき,匿名走林会,11:02:00,,レンタル,000-00-012
W21A,2203,小林 彩,こばやし あや,デモOLK,11:04:00,8100013,マイカード,
M20A,2204,加藤 健,かとう けん,サンプルOLC,11:06:00,,レンタル,000-00-014
M20A,2205,斎藤 浩,さいとう ひろし,架空OLC,11:08:00,8100015,マイカード,000-00-015
MB,3301,佐藤 次郎,さとう じろう,デモOLK,11:00:00,,レンタル,
MB,3302,中村 学,なかむら まなぶ,テストクラブ,11:02:00,8100021,マイカード,
WB,3303,高橋 結衣,たかはし ゆい,サンプルOLC,11:04:00,,レンタル,
WB,3304,松本 香,まつもと かおり,匿名走林会,11:06:00,,レンタル,
N,3305,清水 一郎,しみず いちろう,-,11:08:00,,レンタル,
N,3306,岡田 里奈,おかだ りな,-,11:10:00,,レンタル,
N,9001,,,,11:12:00,,レンタル,
N,9002,,,,11:14:00,,レンタル,
M21A,9901,前走 太郎,ぜんそう たろう,運営,10:30:00,8199001,マイカード,
