スタートナンバー,クラス,スタート時刻,氏名,所属,コース,カード番号,カード備考
1001,Relay1走,13:30,山田 太郎,テストクラブ,a,8100001,マイカード
1002,Relay2走,,鈴木 花子,テストクラブ,b,8100002,マイカード
1003,Relay3走,,佐藤 次郎,テストクラブ,c,,レンタル
2001,Relay1走,13:30,井上 拓也,テストクラブ,a,8100004,マイカード
2002,Relay2走,,森 美咲,テストクラブ,b,,レンタル
2003,Relay3走,,中村 学,テストクラブ,c,8100006,マイカード
3001,Relay1走,13:30,渡辺 健太,サンプルOLC,a,,レンタル
3002,Relay2走,,高橋 結衣,サンプルOLC,b,8100008,マイカード
3003,Relay3走,,加藤 健,サンプルOLC,c,,レンタル
4001,Relay1走,13:30,林 誠,デモOLK,a,8100010,マイカード
4002,Relay2走,,小林 彩,デモOLK,b,,レンタル
4003,Relay3走,,斎藤 浩,デモOLK,c,8100012,マイカード
