"ゼッケン","氏名","ふりがな","所属","クラス","カード","スタート"
"1101","山田 太郎","やまだ たろう","テストクラブ","M21A","8100001","11:00:00"
"1102","井上 拓也","いのうえ たくや","サンプルOLC","M21A","8100002","11:01:00"
"1103","森 大輔","もり だいすけ","デモOLK","M21A","レンタル","11:02:00"
"1104","渡辺 健太","わたなべ けんた","テストクラブ","M21A","8100004","11:03:00"
"1105","林 誠","はやし まこと","架空OLC","M21A","レンタル","11:04:00"
"1106","後藤 悠","ごとう ゆう","サンプルOLC","M21A","8100006","11:05:00"
"2201","鈴木 花子","すずき はなこ","テストクラブ","W21A","8100011","11:00:00"
"2202","森 美咲","もり みさき","匿名走林会","W21A","レンタル","11:02:00"
"2203","小林 彩","こばやし あや","デモOLK","W21A","8100013","11:04:00"
"2204","加藤 健","かとう けん","サンプルOLC","M20A","レンタル","11:06:00"
"2205","斎藤 浩","さいとう ひろし","架空OLC","M20A","8100015","11:08:00"
"3301","佐藤 次郎","さとう じろう","デモOLK","MB","レンタル","11:00:00"
"3302","中村 学","なかむら まなぶ","テストクラブ","MB","8100021","11:02:00"
"3303","高橋 結衣","たかはし ゆい","サンプルOLC","WB","レンタル","11:04:00"
"3304","松本 香","まつもと かおり","匿名走林会","WB","レンタル","11:06:00"
"3305","清水 一郎","しみず いちろう","-","N","レンタル","11:08:00"
"3306","岡田 里奈","おかだ りな","-","N","レンタル","11:10:00"
"9901","前走 太郎","ぜんそう たろう","運営","M21A","8199001","10:30:00"
