"時刻","ゼッケン","姓（かな）","氏名","クラス","カード"
"11:00:00","1101","やまだ","山田 太郎","M21A","8100001"
"11:01:00","1102","いのうえ","井上 拓也","M21A","8100002"
"11:02:00","1103","もり","森 大輔","M21A","レンタル"
"11:03:00","1104","わたなべ","渡辺 健太","M21A","8100004"
"11:04:00","1105","はやし","林 誠","M21A","レンタル"
"11:05:00","1106","ごとう","後藤 悠","M21A","8100006"
"11:00:00","2201","すずき","鈴木 花子","W21A","8100011"
"11:02:00","2202","もり","森 美咲","W21A","レンタル"
"11:04:00","2203","こばやし","小林 彩","W21A","8100013"
"11:06:00","2204","かとう","加藤 健","M20A","レンタル"
"11:08:00","2205","さいとう","斎藤 浩","M20A","8100015"
"11:00:00","3301","さとう","佐藤 次郎","MB","レンタル"
"11:02:00","3302","なかむら","中村 学","MB","8100021"
"11:04:00","3303","たかはし","高橋 結衣","WB","レンタル"
"11:06:00","3304","まつもと","松本 香","WB","レンタル"
"11:08:00","3305","しみず","清水 一郎","N","レンタル"
"11:10:00","3306","おかだ","岡田 里奈","N","レンタル"
"10:30:00","9901","ぜんそう","前走 太郎","M21A","8199001"
